Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2023-05-31 00:00:00;Pasquotank County;47.0;40.0;466.0;506.0;30243.0;2044.0;0.0;0.0;6.0;6.0;-52.0;11.0;2023;05
2023-06-30 00:00:00;Alamance County;472.0;190.0;2642.0;2832.0;133891.0;7622.0;24.0;5.0;53.0;58.0;216.0;23.0;2023;06
2023-06-30 00:00:00;Alexander County;47.0;37.0;396.0;433.0;34559.0;2863.0;4.0;1.0;12.0;13.0;31.0;-22.0;2023;06
2023-06-30 00:00:00;Beaufort County;84.0;29.0;610.0;639.0;40131.0;3593.0;4.0;0.0;5.0;5.0;50.0;35.0;2023;06
2023-06-30 00:00:00;Buncombe County;2135.0;1026.0;8481.0;9507.0;197779.0;12902.0;84.0;16.0;95.0;111.0;117.0;70.0;2023;06
2023-06-30 00:00:00;Carteret County;214.0;96.0;1175.0;1271.0;61483.0;4511.0;5.0;2.0;33.0;35.0;69.0;49.0;2023;06
2023-06-30 00:00:00;Cherokee County;42.0;30.0;319.0;349.0;26405.0;2146.0;1.0;1.0;10.0;11.0;110.0;11.0;2023;06
2023-06-30 00:00:00;Columbus County;23.0;19.0;329.0;348.0;42553.0;3135.0;2.0;1.0;6.0;7.0;60.0;5.0;2023;06
2023-06-30 00:00:00;Currituck County;98.0;33.0;544.0;577.0;26817.0;2700.0;5.0;0.0;20.0;20.0;1.0;30.0;2023;06
2023-06-30 00:00:00;Hyde County;3.0;1.0;36.0;37.0;3689.0;519.0;0.0;0.0;3.0;3.0;25.0;-1.0;2023;06
2023-06-30 00:00:00;Jones County;5.0;6.0;75.0;81.0;8415.0;736.0;0.0;-2.0;-1.0;-3.0;2.0;-31.0;2023;06
2023-06-30 00:00:00;Macon County;107.0;58.0;502.0;560.0;32996.0;3070.0;3.0;-1.0;0.0;-1.0;67.0;32.0;2023;06
2023-06-30 00:00:00;Mitchell County;23.0;13.0;179.0;192.0;14777.0;1245.0;0.0;1.0;12.0;13.0;56.0;-4.0;2023;06
2023-06-30 00:00:00;Montgomery County;50.0;16.0;288.0;304.0;23546.0;1839.0;3.0;0.0;3.0;3.0;-17.0;-5.0;2023;06
2023-06-30 00:00:00;Orange County;1960.0;767.0;6471.0;7238.0;90795.0;4069.0;70.0;18.0;58.0;76.0;130.0;2.0;2023;06
